city,id,adType,propertyType,accountType,surfaceArea,roomsQuantity,bedroomsQuantity,heating,hasCellar,toiletQuantity,floorQuantity,hasElevator,floor,energyClassification,greenhouseGazClassification,isInCondominium,agencyFeePercentage,newOrOld,price,pricePerSquareMeter,priceHasDecreased,district.libelle,district.id,workToDo,bathroomsQuantity,hasGarden,annualCondominiumFees,isDuplex,hasAlarm,terracesQuantity,hasPool,balconyQuantity,firePlacesQuantity,surfaceArea_bins,price_bins
Paris 14e,apimo-7535242,buy,flat,agency,77.0,3,2.0,Radiateur Gaz Collectif ,False,1.0,7.0,True,0.0,F,E,False,2.643171806167401,None,699000,8844.155844155845,False,Montsouris - Dareau,100493,False,1.0,False,0.0,False,False,0.0,False,0.0,1.0,middle,expensive
Paris 19e,adapt-immo-7505010896,buy,flat,mandatary,51.0,2,1.0,gaz ,True,1.0,6.0,True,1.0,E,E,True,5.0,old,485000,9509.803921568628,False,Bassin de la Villette,100456,None,1.0,False,1500.0,False,False,0.0,False,0.0,0.0,middle,not-expensive
Paris 19e,adapt-immo-7505010899,buy,flat,mandatary,56.0,3,2.0,gaz ,True,1.0,6.0,True,2.0,E,E,True,5.0,None,519000,9267.857142857143,False,Bassin de la Villette,100456,None,1.0,False,1500.0,False,False,0.0,False,1.0,0.0,middle,not-expensive
Paris 19e,iad-france-1231238,buy,flat,mandatary,34.0,1,0.0,None,False,1.0,7.0,True,0.0,E,D,True,5.0,new,315000,9264.70588235294,False,Secrétan - Jaurès,100455,None,1.0,False,1589.76,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 20e,iad-france-1232344,buy,flat,mandatary,65.0,3,2.0,électrique individuel ,True,1.0,4.0,False,1.0,D,C,True,5.0,None,647000,9953.846153846154,False,Père Lachaise - Réunion,100446,None,1.0,False,2120.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 11e,citya-immobilier-5049-TAPP488654,buy,flat,agency,40.0,2,1.0,Convecteurs Electrique Individuel ,False,1.0,6.0,False,2.0,G,C,True,5.0,new,389000,9725.0,False,Bastille - Popincourt,100514,None,1.0,False,1512.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 12e,immo-facile-3681699,buy,flat,agency,100.0,5,3.0,collectif ,True,2.0,10.0,True,5.0,D,B,True,4.0,new,894400,8600.0,False,Bercy,100507,False,1.0,False,4640.0,False,False,0.0,False,0.0,0.0,large,expensive
Paris 18e,immo-facile-50719152,buy,flat,agency,107.89,4,2.0,individuel ,False,1.0,2.0,False,0.0,D,B,True,5.0,None,895000,8295.486143294096,False,Porte de la Chapelle - Charles Hermite - Evangile,100460,False,2.0,False,2180.0,False,False,0.0,False,0.0,0.0,large,expensive
Paris 16e,immo-facile-50841758,buy,flat,agency,80.35,3,2.0,électrique individuel ,True,1.0,6.0,False,3.0,F,C,True,5.0,new,1045000,13005.60049782203,False,Auteuil-Nord - Jasmin - Mirabeau,100479,False,1.0,False,2376.0,False,False,0.0,False,2.0,1.0,large,veryExpensive
Paris 16e,immo-facile-51012987,buy,flat,agency,90.0,3,2.0,radiateur gaz collectif ,True,1.0,7.0,True,1.0,F,E,True,2.71,old,1099000,11888.888888888889,False,Auteuil-Nord - Jasmin - Mirabeau,100479,False,1.0,False,4272.0,False,False,0.0,False,0.0,1.0,large,veryExpensive
Paris 16e,immo-facile-51012996,buy,flat,agency,90.0,4,3.0,radiateur gaz collectif ,True,1.0,7.0,True,1.0,F,E,True,2.71,old,1099000,11888.888888888889,False,Auteuil-Nord - Jasmin - Mirabeau,100479,False,1.0,False,356.0,False,False,0.0,False,0.0,1.0,large,veryExpensive
Paris 11e,immo-facile-51013656,buy,flat,agency,109.0,5,4.0,collectif ,True,2.0,6.0,True,1.0,D,D,True,5.0,new,1240000,11376.146788990825,False,Nation - Alexandre Dumas,100512,False,1.0,False,4522.0,False,False,0.0,False,0.0,0.0,large,veryExpensive
Paris 1er,hektor-PARISLUXURYHOMES-2501,buy,flat,agency,43.02,2,1.0,radiateur électrique individuel ,False,1.0,6.0,False,4.0,C,D,True,4.84,new,650000,14411.901441190143,False,Châtelet - Les Halles,100559,None,1.0,False,3526.0,False,False,0.0,False,0.0,0.0,tiny,expensive
Paris 16e,iad-france-1226660,buy,flat,mandatary,7.0,1,0.0,radiateur gaz collectif ,False,1.0,8.0,True,8.0,G,G,True,5.0,new,110000,15714.285714285714,False,Chaillot,100476,None,1.0,False,548.0,False,False,0.0,False,0.0,0.0,extratiny,cheap
Paris 12e,ag753123-363031839,buy,flat,agency,81.0,4,2.0,gaz individuel,True,1.0,6.0,True,1.0,E,E,True,5.0,old,883000,10901.234567901234,False,Nation - Picpus,100510,None,1.0,False,2895.0,False,False,0.0,False,0.0,1.0,large,expensive
Paris 13e,ag755464-363021514,buy,flat,agency,38.0,2,1.0,gaz collectif,True,1.0,6.0,True,4.0,F,F,False,3.75,old,415000,10526.315789473685,False,Croulebarbe,110467,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 10e,iad-france-1229947,buy,flat,mandatary,61.0,3,2.0,radiateur électrique individuel ,False,1.0,6.0,True,1.0,F,C,True,5.0,old,590000,9672.131147540984,False,Château d'Eau - Lancry,100518,None,1.0,False,2684.0,False,False,0.0,False,0.0,0.0,middle,not-expensive
Paris 20e,ag751938-363012781,buy,flat,network,45.0,2,1.0,gaz individuel,True,1.0,6.0,True,6.0,E,B,True,5.0,old,380000,8444.444444444445,False,Plaine - Lagny,100445,None,1.0,False,1200.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 18e,ag751938-363012814,buy,flat,network,44.0,2,1.0,collectif,True,1.0,6.0,True,3.0,E,E,True,5.0,old,570000,12954.545454545454,False,Montmartre - Sacré Coeur - Abbesses,100465,None,1.0,False,2640.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 20e,ag755382-362999104,buy,flat,agency,125.0,6,4.0,individuel,False,2.0,6.0,True,0.0,D,D,True,5.0,old,1295000,10592.4,False,Jardin de Reuilly,100506,None,1.0,False,1449.99999999996,False,False,1.0,False,0.0,0.0,extralarge,veryExpensive
Paris 14e,iad-france-1231405,buy,flat,mandatary,17.0,1,0.0,radiateur gaz collectif ,False,1.0,7.0,True,7.0,G,F,True,5.0,new,210000,12352.941176470587,False,Jean Moulin - Porte d'Orléans,100492,None,1.0,False,1052.0,False,False,0.0,False,1.0,0.0,extratiny,cheap
Paris 16e,ag923032-362868859,buy,flat,agency,122.0,4,2.0,gaz collectif,False,2.0,7.0,True,3.0,G,G,True,4.0,old,1560000,12295.081967213115,False,Dauphine,100475,None,1.0,False,3526.0,True,False,0.0,False,1.0,0.0,extralarge,veryExpensive
Paris 9e,apimo-7524247,buy,flat,agency,28.12,2,1.0,Radiateur Electrique Individuel ,False,1.0,6.0,True,1.0,E,D,False,5.0,None,355000,12624.466571834992,False,Trudaine - Rochechouart,100523,False,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 15e,apimo-7525284,buy,flat,agency,68.0,3,2.0,Réseau de chaleur ,False,1.0,6.0,True,4.0,E,D,False,5.0,None,734990,10808.676470588236,False,Vaugirard - Parc des Expositions,100489,False,1.0,False,0.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 14e,adapt-immo-7505010873,buy,flat,mandatary,26.0,1,0.0,électrique ,False,1.0,6.0,False,0.0,B,A,True,5.0,old,336000,12923.076923076924,False,Montparnasse - Raspail,100496,None,1.0,False,679.2,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 19e,ag755382-362935390,buy,flat,agency,50.0,3,2.0,gaz individuel,True,1.0,7.0,True,3.0,VI,D,False,5.0,old,499000,9980.0,False,La Villette - Porte de Pantin,110477,None,1.0,False,0.0,False,False,0.0,False,0.0,0.0,tiny,not-expensive
Paris 15e,immo-facile-50810137,buy,flat,agency,136.24,4,3.0,radiateur gaz individuel ,True,2.0,8.0,True,0.0,E,E,True,5.0,old,1850000,13578.97827363476,False,Vaugirard - Parc des Expositions,100489,False,2.0,False,3870.0,False,False,0.0,False,1.0,0.0,extralarge,veryExpensive
Paris 10e,gedeon-25829867,buy,flat,agency,60.0,3,2.0,None,True,2.0,6.0,True,3.0,F,E,False,5.0,old,649000,10816.666666666666,False,Porte Saint-Martin - Paradis,100517,None,2.0,False,0.0,False,False,0.0,False,0.0,0.0,middle,expensive
Paris 17e,ag750129-362887315,buy,flat,network,44.0,2,1.0,gaz ,True,1.0,9.0,True,3.0,F,F,True,5.0,old,435000,9886.363636363636,False,Ternes - Maillot,100474,None,1.0,False,2340.0,False,False,0.0,False,1.0,0.0,tiny,not-expensive
